Weather_Conditions,Road_Type,Time_of_Day,Accident_Severity
Fog,Suburban,Evening,1
Snow,Suburban,Night,1
Snow,Rural,Morning,1
Fog,Urban,Morning,1
Clear,Suburban,Morning,2
Rain,Urban,Evening,1
Snow,Suburban,Night,1
Clear,Rural,Evening,3
Clear,Rural,Evening,1
Rain,Rural,Morning,3
Snow,Suburban,Evening,1
Snow,Urban,Afternoon,1
Clear,Urban,Evening,3
Clear,Urban,Afternoon,1
Rain,Suburban,Evening,2
Rain,Suburban,Night,2
Snow,Suburban,Night,1
Fog,Suburban,Morning,2
Snow,Suburban,Evening,3
Clear,Urban,Afternoon,1
Snow,Suburban,Afternoon,1
Fog,Suburban,Evening,3
Rain,Urban,Afternoon,3
Fog,Suburban,Night,3
Fog,Urban,Afternoon,1
Fog,Urban,Morning,3
Rain,Rural,Night,3
Fog,Rural,Night,2
Fog,Rural,Night,2
Fog,Rural,Evening,1
Clear,Suburban,Evening,2
Fog,Rural,Night,2
Rain,Urban,Evening,3
Fog,Suburban,Afternoon,3
Fog,Rural,Evening,2
Rain,Urban,Evening,2
Fog,Suburban,Night,2
Rain,Suburban,Morning,1
Fog,Rural,Morning,1
Rain,Suburban,Morning,1
Fog,Urban,Afternoon,2
Fog,Suburban,Evening,2
Clear,Urban,Morning,1
Clear,Suburban,Night,1
Fog,Rural,Morning,2
Fog,Urban,Morning,3
Snow,Suburban,Evening,1
Rain,Suburban,Evening,2
Snow,Suburban,Evening,2
Clear,Urban,Afternoon,3
Clear,Urban,Afternoon,2
Clear,Urban,Morning,2
Clear,Rural,Evening,1
Fog,Rural,Morning,1
Clear,Urban,Night,3
Fog,Suburban,Night,3
Fog,Rural,Evening,2
Clear,Urban,Evening,1
Clear,Suburban,Night,3
Rain,Rural,Evening,3
Snow,Suburban,Afternoon,3
Clear,Suburban,Afternoon,2
Rain,Suburban,Evening,1
Rain,Suburban,Night,3
Snow,Rural,Morning,1
Fog,Rural,Evening,3
Clear,Rural,Evening,3
Snow,Urban,Morning,1
Clear,Rural,Evening,1
Rain,Suburban,Morning,1
Rain,Rural,Night,2
Fog,Suburban,Afternoon,3
Rain,Urban,Night,2
Rain,Suburban,Afternoon,1
Snow,Suburban,Morning,3
Clear,Suburban,Afternoon,2
Clear,Urban,Night,3
Snow,Rural,Afternoon,2
Fog,Rural,Morning,1
Clear,Urban,Afternoon,2
Rain,Suburban,Evening,3
Clear,Rural,Night,3
Rain,Urban,Evening,3
Fog,Rural,Morning,3
Snow,Urban,Afternoon,1
Clear,Suburban,Evening,2
Snow,Rural,Evening,1
Clear,Urban,Afternoon,1
Rain,Rural,Afternoon,1
Snow,Rural,Night,3
Clear,Rural,Evening,3
Rain,Rural,Evening,3
Snow,Urban,Morning,2
Snow,Suburban,Night,3
Clear,Urban,Morning,2
Clear,Urban,Evening,3
Clear,Urban,Morning,3
Rain,Suburban,Evening,1
Clear,Rural,Evening,1
Snow,Rural,Morning,1
Snow,Rural,Morning,2
Clear,Suburban,Afternoon,2
Clear,Rural,Afternoon,3
Fog,Suburban,Afternoon,2
Snow,Rural,Evening,3
Rain,Rural,Morning,2
Fog,Urban,Night,2
Clear,Suburban,Evening,2
Clear,Urban,Night,1
Snow,Urban,Morning,2
Clear,Urban,Evening,1
Rain,Suburban,Night,1
Snow,Suburban,Night,2
Clear,Rural,Afternoon,3
Snow,Urban,Afternoon,3
Clear,Rural,Afternoon,3
Clear,Urban,Evening,2
Clear,Suburban,Morning,3
Rain,Suburban,Morning,1
Rain,Suburban,Afternoon,3
Snow,Urban,Afternoon,2
Clear,Suburban,Afternoon,3
Clear,Urban,Night,1
Rain,Rural,Afternoon,2
Clear,Urban,Night,3
Rain,Rural,Morning,2
Clear,Urban,Evening,2
Snow,Rural,Evening,2
Clear,Suburban,Evening,3
Clear,Rural,Evening,2
Fog,Suburban,Night,3
Rain,Suburban,Night,1
Clear,Rural,Afternoon,3
Clear,Urban,Night,1
Fog,Urban,Afternoon,3
Fog,Urban,Afternoon,2
Rain,Urban,Evening,3
Fog,Urban,Night,2
Snow,Suburban,Night,1
Fog,Urban,Afternoon,3
Snow,Suburban,Afternoon,2
Rain,Suburban,Morning,1
Rain,Suburban,Morning,1
Rain,Rural,Afternoon,3
Rain,Rural,Morning,1
Rain,Suburban,Morning,2
Snow,Rural,Afternoon,1
Snow,Urban,Afternoon,1
Rain,Urban,Night,2
Fog,Suburban,Afternoon,1
Clear,Urban,Afternoon,1
Rain,Suburban,Evening,1
Fog,Suburban,Night,1
Clear,Urban,Night,2
Rain,Rural,Night,1
Rain,Urban,Evening,2
Snow,Urban,Afternoon,1
Clear,Suburban,Night,1
Clear,Suburban,Night,1
Fog,Suburban,Morning,1
Snow,Suburban,Night,2
Snow,Rural,Afternoon,2
Snow,Rural,Afternoon,2
Snow,Rural,Morning,3
Clear,Suburban,Night,1
Clear,Suburban,Night,1
Rain,Suburban,Night,2
Rain,Rural,Evening,3
Snow,Suburban,Night,1
Snow,Urban,Afternoon,2
Snow,Urban,Afternoon,1
Rain,Suburban,Evening,1
Fog,Urban,Evening,2
Fog,Urban,Night,2
Rain,Rural,Morning,1
Rain,Suburban,Evening,1
Rain,Suburban,Evening,2
Rain,Rural,Night,1
Rain,Urban,Night,1
Rain,Urban,Evening,2
Snow,Suburban,Morning,1
Snow,Urban,Evening,1
Snow,Rural,Night,3
Snow,Rural,Night,2
Rain,Suburban,Evening,3
Fog,Rural,Morning,3
Clear,Rural,Evening,3
Rain,Suburban,Evening,1
Clear,Rural,Night,1
Fog,Rural,Morning,3
Snow,Rural,Afternoon,3
Fog,Urban,Morning,3
Rain,Suburban,Evening,1
Snow,Suburban,Evening,3
Rain,Suburban,Evening,3
Snow,Urban,Morning,2
Clear,Urban,Night,2
Clear,Suburban,Evening,1
Clear,Urban,Evening,2
Fog,Suburban,Morning,2
Rain,Urban,Afternoon,2
Fog,Rural,Afternoon,1
Clear,Rural,Night,2
Rain,Suburban,Night,1
Clear,Urban,Evening,3
Fog,Urban,Morning,2
Fog,Rural,Evening,1
Fog,Rural,Night,2
Clear,Urban,Morning,3
Rain,Urban,Morning,1
Rain,Urban,Night,1
Clear,Urban,Afternoon,1
Rain,Urban,Afternoon,3
Clear,Urban,Morning,3
Rain,Suburban,Evening,3
Snow,Urban,Afternoon,1
Snow,Rural,Evening,3
Fog,Suburban,Afternoon,2
Snow,Urban,Afternoon,3
Snow,Rural,Evening,1
Snow,Suburban,Night,2
Clear,Rural,Afternoon,3
Snow,Urban,Afternoon,2
Snow,Urban,Evening,2
Fog,Urban,Night,1
Snow,Urban,Afternoon,2
Snow,Suburban,Afternoon,2
Rain,Suburban,Night,1
Fog,Rural,Afternoon,1
Fog,Urban,Night,1
Fog,Rural,Night,2
Fog,Suburban,Evening,2
Fog,Urban,Morning,2
Fog,Urban,Night,1
Clear,Suburban,Evening,3
Snow,Suburban,Morning,2
Fog,Suburban,Afternoon,3
Snow,Suburban,Morning,1
Snow,Suburban,Night,2
Clear,Urban,Night,3
Fog,Suburban,Night,2
Rain,Urban,Night,2
Clear,Urban,Night,2
Rain,Suburban,Evening,3
Snow,Suburban,Night,1
Snow,Urban,Evening,2
Clear,Suburban,Afternoon,1
Clear,Suburban,Night,1
Rain,Suburban,Night,3
Fog,Rural,Morning,3
Rain,Urban,Afternoon,1
Clear,Rural,Night,2
Rain,Suburban,Night,3
Clear,Rural,Afternoon,2
Rain,Suburban,Evening,2
Clear,Rural,Night,2
Clear,Suburban,Morning,1
Clear,Rural,Night,2
Fog,Rural,Morning,1
Rain,Rural,Morning,1
Rain,Urban,Night,2
Rain,Rural,Night,2
Clear,Urban,Morning,2
Rain,Suburban,Afternoon,2
Rain,Rural,Afternoon,1
Clear,Suburban,Night,2
Snow,Suburban,Evening,2
Clear,Rural,Afternoon,1
Rain,Urban,Night,3
Clear,Rural,Afternoon,3
Snow,Suburban,Evening,1
Clear,Suburban,Night,3
Rain,Rural,Evening,1
Snow,Urban,Night,2
Fog,Urban,Evening,2
Rain,Suburban,Afternoon,3
Snow,Suburban,Afternoon,2
Snow,Urban,Evening,3
Fog,Rural,Evening,3
Clear,Suburban,Evening,2
Clear,Urban,Night,2
Rain,Suburban,Afternoon,3
Fog,Rural,Night,2
Clear,Urban,Afternoon,1
Fog,Suburban,Morning,2
Clear,Rural,Night,2
Snow,Suburban,Afternoon,1
Clear,Rural,Afternoon,2
Fog,Rural,Night,2
Snow,Urban,Night,3
Snow,Rural,Afternoon,2
Snow,Suburban,Night,2
Fog,Rural,Evening,1
Rain,Rural,Night,3
Rain,Urban,Night,3
Rain,Rural,Night,3
Fog,Rural,Afternoon,2
Snow,Suburban,Evening,3
Rain,Urban,Morning,1
Fog,Urban,Morning,3
Rain,Urban,Evening,1
Clear,Rural,Evening,3
Rain,Urban,Evening,3
Rain,Rural,Afternoon,1
Snow,Rural,Morning,3
Fog,Suburban,Evening,3
Snow,Suburban,Afternoon,3
Snow,Suburban,Morning,2
Snow,Suburban,Night,1
Snow,Suburban,Afternoon,3
Snow,Rural,Morning,1
Rain,Rural,Afternoon,1
Snow,Urban,Morning,1
Snow,Rural,Morning,3
Fog,Rural,Night,3
Clear,Suburban,Afternoon,1
Rain,Rural,Evening,2
Rain,Suburban,Night,1
Rain,Urban,Night,2
Snow,Urban,Morning,1
Snow,Rural,Evening,1
Snow,Urban,Afternoon,1
Fog,Rural,Evening,3
Clear,Urban,Evening,2
Snow,Suburban,Evening,2
Clear,Suburban,Evening,1
Fog,Suburban,Evening,3
Rain,Suburban,Morning,3
Snow,Rural,Morning,2
Clear,Urban,Night,3
Clear,Rural,Morning,2
Snow,Suburban,Night,2
Rain,Rural,Night,2
Rain,Urban,Afternoon,3
Rain,Rural,Evening,2
Fog,Urban,Morning,2
Clear,Rural,Afternoon,1
Clear,Urban,Morning,2
Clear,Urban,Night,2
Fog,Suburban,Morning,1
Clear,Urban,Evening,1
Fog,Suburban,Night,3
Rain,Suburban,Night,2
Snow,Suburban,Afternoon,3
Clear,Rural,Evening,3
Clear,Rural,Night,1
Rain,Rural,Evening,3
Snow,Rural,Morning,2
Fog,Urban,Evening,1
Snow,Urban,Night,2
Rain,Rural,Afternoon,2
Rain,Urban,Night,1
Snow,Urban,Evening,2
Fog,Suburban,Evening,1
Fog,Suburban,Night,2
Clear,Suburban,Evening,1
Fog,Suburban,Morning,3
Snow,Urban,Night,2
Rain,Rural,Afternoon,1
Clear,Urban,Night,2
Clear,Urban,Morning,2
Rain,Urban,Morning,2
Fog,Suburban,Morning,1
Rain,Suburban,Morning,3
Fog,Suburban,Morning,3
Rain,Rural,Afternoon,3
Snow,Urban,Evening,1
Fog,Rural,Morning,3
Snow,Suburban,Morning,1
Clear,Rural,Night,2
Rain,Urban,Afternoon,2
Clear,Urban,Afternoon,3
Clear,Suburban,Evening,1
Clear,Suburban,Afternoon,2
Clear,Rural,Night,1
Rain,Suburban,Night,1
Clear,Suburban,Evening,2
Rain,Urban,Night,1
Rain,Suburban,Morning,2
Snow,Suburban,Morning,2
Fog,Urban,Night,2
Fog,Urban,Evening,1
Rain,Rural,Afternoon,2
Snow,Suburban,Evening,1
Rain,Urban,Afternoon,2
Rain,Rural,Night,2
Rain,Rural,Night,3
Snow,Suburban,Morning,3
Fog,Suburban,Afternoon,3
Snow,Rural,Evening,1
Clear,Urban,Night,1
Snow,Rural,Evening,2
Snow,Suburban,Morning,2
Snow,Urban,Afternoon,2
Snow,Urban,Afternoon,2
Fog,Rural,Night,1
Clear,Suburban,Afternoon,2
Fog,Rural,Night,2
Fog,Rural,Morning,3
Snow,Rural,Afternoon,2
Rain,Urban,Night,2
Rain,Urban,Evening,2
Fog,Suburban,Night,1
Fog,Suburban,Afternoon,3
Snow,Rural,Morning,2
Fog,Rural,Afternoon,2
Snow,Rural,Afternoon,3
Rain,Suburban,Night,2
Rain,Urban,Evening,1
Clear,Urban,Afternoon,2
Rain,Rural,Evening,1
Fog,Rural,Night,1
Rain,Rural,Evening,2
Snow,Rural,Night,3
Rain,Suburban,Morning,1
Clear,Urban,Evening,3
Rain,Rural,Evening,2
Snow,Suburban,Morning,1
Snow,Rural,Evening,2
Fog,Rural,Morning,3
Rain,Urban,Afternoon,2
Snow,Rural,Night,2
Clear,Urban,Morning,1
Fog,Urban,Evening,2
Clear,Urban,Morning,2
Rain,Suburban,Evening,2
Rain,Suburban,Afternoon,1
Rain,Urban,Morning,3
Fog,Rural,Afternoon,3
Snow,Urban,Night,2
Fog,Rural,Evening,1
Clear,Urban,Evening,2
Fog,Rural,Afternoon,3
Clear,Suburban,Night,1
Fog,Rural,Morning,3
Snow,Urban,Morning,3
Clear,Suburban,Evening,1
Rain,Rural,Afternoon,1
Rain,Rural,Afternoon,2
Fog,Rural,Morning,2
Rain,Rural,Night,3
Clear,Rural,Night,1
Rain,Suburban,Morning,1
Snow,Suburban,Morning,2
Snow,Suburban,Afternoon,3
Fog,Suburban,Night,3
Clear,Urban,Morning,2
Snow,Suburban,Morning,1
Snow,Rural,Evening,2
Clear,Rural,Morning,2
Rain,Suburban,Morning,2
Rain,Rural,Night,2
Fog,Suburban,Afternoon,1
Rain,Rural,Night,2
Clear,Urban,Afternoon,1
Snow,Urban,Evening,2
Rain,Suburban,Morning,3
Fog,Suburban,Evening,1
Rain,Suburban,Afternoon,3
Clear,Rural,Night,2
Fog,Suburban,Night,2
Rain,Urban,Evening,2
Fog,Rural,Afternoon,1
Clear,Suburban,Evening,3
Snow,Rural,Evening,1
Clear,Rural,Morning,1
Clear,Suburban,Evening,2
Clear,Rural,Morning,3
Clear,Urban,Morning,2
Snow,Urban,Night,1
Snow,Rural,Morning,2
Fog,Suburban,Morning,3
Rain,Rural,Night,2
Snow,Urban,Evening,3
Snow,Rural,Afternoon,3
Rain,Rural,Afternoon,2
Snow,Urban,Afternoon,1
Clear,Rural,Evening,2
Clear,Rural,Morning,1
Rain,Suburban,Afternoon,1
Fog,Suburban,Evening,2
Fog,Urban,Morning,1
Rain,Urban,Night,1
Rain,Urban,Afternoon,2
Clear,Suburban,Morning,2
Fog,Urban,Afternoon,2
Snow,Urban,Afternoon,1
Clear,Urban,Afternoon,3
Rain,Suburban,Morning,1
Fog,Rural,Evening,3
Snow,Urban,Morning,2
Snow,Rural,Afternoon,3
Clear,Urban,Morning,2
Fog,Rural,Night,2
Fog,Suburban,Evening,3
Rain,Suburban,Morning,2
Fog,Urban,Night,3
Fog,Rural,Evening,2
Clear,Suburban,Night,1
Fog,Urban,Evening,1
Snow,Urban,Morning,2
Clear,Suburban,Night,2
Clear,Suburban,Afternoon,3
Rain,Urban,Night,1
Fog,Rural,Evening,3
Rain,Rural,Morning,2
Snow,Rural,Evening,2
Clear,Urban,Night,3
Clear,Suburban,Night,2
Clear,Urban,Afternoon,1
Snow,Suburban,Morning,3
Snow,Rural,Morning,1
Rain,Rural,Night,1
Rain,Suburban,Morning,1
Rain,Suburban,Afternoon,3
Fog,Urban,Evening,2
Clear,Rural,Morning,1
Clear,Urban,Night,1
Rain,Urban,Evening,1
Clear,Urban,Evening,2
Rain,Rural,Afternoon,2
Fog,Urban,Night,3
Fog,Urban,Morning,2
Snow,Urban,Night,3
Fog,Urban,Evening,3
Rain,Urban,Night,3
Fog,Urban,Morning,3
Snow,Rural,Morning,3
Clear,Urban,Afternoon,1
Rain,Suburban,Morning,2
Clear,Urban,Morning,1
Snow,Urban,Night,3
Snow,Rural,Night,2
Snow,Rural,Evening,1
Clear,Suburban,Afternoon,1
Clear,Suburban,Night,3
Clear,Rural,Morning,1
Clear,Rural,Evening,1
Snow,Urban,Night,1
Snow,Rural,Afternoon,1
Rain,Suburban,Afternoon,1
Rain,Urban,Evening,3
Clear,Suburban,Evening,3
Fog,Urban,Evening,1
Fog,Rural,Evening,3
Snow,Suburban,Evening,3
Snow,Urban,Morning,2
Snow,Urban,Morning,1
Rain,Rural,Night,3
Rain,Rural,Afternoon,3
Snow,Rural,Morning,1
Snow,Suburban,Morning,2
Snow,Urban,Morning,1
Fog,Rural,Night,2
Rain,Suburban,Evening,1
Fog,Suburban,Night,1
Fog,Suburban,Afternoon,1
Snow,Rural,Afternoon,1
Snow,Rural,Afternoon,2
Clear,Urban,Afternoon,2
Clear,Urban,Morning,3
Fog,Rural,Morning,1
Rain,Suburban,Night,2
Snow,Suburban,Evening,2
Snow,Suburban,Afternoon,2
Fog,Urban,Night,1
Clear,Suburban,Morning,3
Rain,Urban,Morning,2
Clear,Urban,Evening,1
Clear,Suburban,Evening,2
Clear,Suburban,Evening,2
Clear,Rural,Night,3
Snow,Rural,Morning,2
Snow,Suburban,Morning,2
Clear,Urban,Evening,1
Rain,Urban,Afternoon,1
Fog,Urban,Evening,3
Rain,Urban,Night,1
Rain,Urban,Evening,1
Rain,Rural,Evening,3
Clear,Suburban,Night,2
Snow,Rural,Evening,3
Rain,Urban,Morning,1
Clear,Urban,Afternoon,3
Rain,Urban,Evening,2
Rain,Urban,Night,3
Clear,Suburban,Afternoon,1
Snow,Urban,Night,1
Snow,Suburban,Afternoon,3
Fog,Urban,Afternoon,2
Clear,Suburban,Evening,3
Fog,Rural,Morning,2
Fog,Urban,Evening,2
Fog,Suburban,Night,3
Snow,Rural,Night,2
Clear,Urban,Afternoon,1
Fog,Urban,Afternoon,3
Clear,Urban,Morning,2
Clear,Suburban,Evening,1
Snow,Suburban,Night,3
Fog,Rural,Afternoon,1
Fog,Suburban,Morning,1
Clear,Suburban,Night,1
Rain,Urban,Afternoon,2
Snow,Urban,Night,3
Snow,Urban,Morning,3
Snow,Urban,Morning,2
Snow,Urban,Night,3
Fog,Urban,Evening,1
Fog,Urban,Night,3
Rain,Rural,Afternoon,2
Snow,Rural,Evening,1
Snow,Rural,Afternoon,2
Clear,Rural,Night,1
Fog,Urban,Evening,1
Snow,Rural,Afternoon,3
Rain,Urban,Night,1
Rain,Rural,Night,2
Fog,Suburban,Evening,3
Rain,Rural,Night,2
Rain,Rural,Morning,1
Fog,Urban,Afternoon,2
Snow,Rural,Afternoon,2
Snow,Suburban,Night,1
Rain,Urban,Night,3
Rain,Urban,Morning,2
Snow,Rural,Evening,1
Fog,Urban,Night,3
Rain,Urban,Night,3
Clear,Urban,Night,3
Fog,Urban,Night,2
Rain,Urban,Afternoon,2
Rain,Urban,Night,2
Clear,Suburban,Afternoon,3
Clear,Rural,Night,2
Snow,Suburban,Evening,1
Fog,Urban,Morning,2
Fog,Urban,Evening,2
Snow,Rural,Night,3
Fog,Suburban,Night,2
Fog,Rural,Night,1
Fog,Suburban,Evening,3
Fog,Urban,Night,1
Fog,Rural,Evening,3
Clear,Rural,Afternoon,3
Fog,Urban,Morning,2
Clear,Rural,Morning,1
Fog,Suburban,Evening,3
Snow,Suburban,Afternoon,2
Rain,Suburban,Evening,3
Clear,Suburban,Afternoon,3
Fog,Urban,Night,3
Snow,Rural,Afternoon,3
Rain,Suburban,Afternoon,3
Clear,Urban,Afternoon,3
Rain,Rural,Morning,2
Snow,Rural,Afternoon,3
Clear,Urban,Night,1
Rain,Urban,Night,2
Fog,Suburban,Night,1
Clear,Rural,Afternoon,3
Rain,Rural,Evening,1
Snow,Urban,Evening,3
Snow,Rural,Night,3
Clear,Suburban,Morning,2
Rain,Rural,Evening,2
Clear,Urban,Afternoon,3
Clear,Urban,Evening,2
Rain,Suburban,Night,1
Rain,Suburban,Morning,2
Fog,Rural,Evening,2
Rain,Rural,Evening,1
Snow,Urban,Night,2
Clear,Suburban,Morning,3
Clear,Suburban,Morning,1
Snow,Suburban,Night,3
Rain,Rural,Afternoon,1
Snow,Suburban,Evening,3
Snow,Urban,Afternoon,3
Fog,Urban,Evening,2
Snow,Rural,Evening,3
Clear,Rural,Afternoon,2
Snow,Suburban,Night,1
Clear,Rural,Night,3
Clear,Urban,Evening,3
Clear,Suburban,Night,1
Rain,Urban,Evening,1
Fog,Suburban,Night,3
Clear,Rural,Evening,1
Clear,Suburban,Night,2
Rain,Suburban,Morning,1
Clear,Urban,Afternoon,1
Snow,Urban,Morning,3
Snow,Suburban,Afternoon,2
Fog,Rural,Afternoon,1
Clear,Rural,Evening,2
Rain,Urban,Afternoon,2
Snow,Rural,Morning,2
Rain,Urban,Morning,3
Rain,Rural,Night,1
Snow,Suburban,Morning,3
Rain,Urban,Night,1
Snow,Urban,Afternoon,1
Rain,Suburban,Morning,3
Snow,Urban,Afternoon,2
Clear,Rural,Morning,2
Fog,Rural,Morning,1
Snow,Urban,Night,3
Snow,Rural,Afternoon,2
Fog,Urban,Morning,2
Snow,Suburban,Evening,1
Snow,Urban,Afternoon,1
Rain,Suburban,Afternoon,3
Fog,Rural,Afternoon,1
Clear,Suburban,Night,2
Snow,Rural,Evening,2
Fog,Urban,Afternoon,2
Rain,Rural,Morning,2
Clear,Urban,Morning,3
Fog,Urban,Night,3
Clear,Suburban,Morning,1
Clear,Suburban,Afternoon,1
Clear,Suburban,Morning,1
Snow,Suburban,Afternoon,3
Snow,Rural,Morning,2
Rain,Rural,Evening,1
Rain,Rural,Night,2
Fog,Urban,Night,1
Rain,Rural,Evening,1
Clear,Rural,Evening,1
Clear,Rural,Night,1
Snow,Suburban,Evening,1
Clear,Rural,Afternoon,2
Fog,Urban,Morning,1
Clear,Suburban,Night,2
Clear,Urban,Evening,3
Fog,Rural,Afternoon,1
Rain,Suburban,Night,2
Rain,Urban,Evening,3
Fog,Rural,Night,3
Snow,Urban,Evening,3
Clear,Urban,Night,2
Fog,Urban,Afternoon,1
Clear,Rural,Afternoon,1
Snow,Rural,Morning,2
Clear,Urban,Night,1
Fog,Suburban,Morning,2
Clear,Suburban,Night,1
Rain,Rural,Evening,3
Snow,Rural,Evening,1
Snow,Rural,Morning,2
Snow,Rural,Night,2
Fog,Rural,Morning,3
Snow,Suburban,Afternoon,2
Rain,Rural,Morning,1
Fog,Urban,Morning,1
Rain,Urban,Evening,3
Clear,Suburban,Morning,2
Clear,Urban,Night,3
Clear,Suburban,Evening,1
Clear,Suburban,Morning,3
Rain,Urban,Afternoon,2
Fog,Rural,Morning,3
Fog,Urban,Morning,2
Snow,Urban,Morning,2
Rain,Suburban,Evening,1
Clear,Urban,Night,1
Rain,Suburban,Afternoon,1
Snow,Rural,Morning,2
Snow,Rural,Night,3
Rain,Rural,Night,2
Rain,Urban,Evening,1
Rain,Suburban,Afternoon,1
Fog,Rural,Evening,3
Clear,Suburban,Night,1
Rain,Suburban,Night,1
Rain,Rural,Night,1
Rain,Rural,Evening,3
Snow,Suburban,Afternoon,2
Snow,Rural,Morning,1
Fog,Suburban,Evening,3
Clear,Suburban,Night,1
Fog,Rural,Evening,3
Clear,Urban,Night,1
Snow,Rural,Morning,3
Snow,Urban,Morning,1
Snow,Suburban,Afternoon,2
Fog,Suburban,Night,1
Rain,Urban,Afternoon,3
Rain,Suburban,Afternoon,1
Snow,Urban,Morning,2
Rain,Urban,Evening,1
Rain,Suburban,Evening,3
Fog,Urban,Afternoon,3
Clear,Rural,Morning,2
Snow,Rural,Night,3
Snow,Suburban,Evening,1
Fog,Suburban,Afternoon,1
Fog,Urban,Evening,1
Rain,Urban,Evening,3
Snow,Urban,Night,1
Clear,Urban,Morning,1
Fog,Rural,Night,1
Clear,Rural,Morning,2
Clear,Suburban,Evening,3
Snow,Urban,Afternoon,3
Snow,Urban,Night,3
Fog,Suburban,Morning,2
Snow,Urban,Evening,3
Snow,Urban,Morning,2
Snow,Urban,Morning,2
Clear,Urban,Morning,3
Fog,Urban,Evening,1
Rain,Suburban,Afternoon,1
Clear,Urban,Afternoon,3
Snow,Suburban,Afternoon,3
Clear,Urban,Morning,2
Snow,Rural,Evening,3
Snow,Rural,Morning,2
Clear,Rural,Afternoon,3
Fog,Rural,Afternoon,1
Snow,Suburban,Evening,1
Fog,Suburban,Morning,3
Rain,Urban,Night,2
Snow,Rural,Night,1
Fog,Suburban,Afternoon,2
Fog,Urban,Evening,3
Rain,Urban,Morning,3
Fog,Suburban,Morning,1
Fog,Rural,Afternoon,3
Rain,Urban,Afternoon,1
Snow,Rural,Morning,2
Fog,Rural,Morning,1
Fog,Rural,Afternoon,1
Fog,Urban,Morning,2
Clear,Rural,Night,1
Rain,Urban,Afternoon,1
Clear,Rural,Morning,3
Rain,Urban,Afternoon,2
Snow,Rural,Evening,1
Snow,Suburban,Afternoon,2
Fog,Rural,Afternoon,2
Rain,Rural,Evening,1
Snow,Urban,Night,3
Rain,Urban,Morning,2
Snow,Rural,Evening,1
Clear,Suburban,Afternoon,2
Snow,Suburban,Morning,3
Clear,Urban,Evening,3
Snow,Suburban,Morning,3
Fog,Rural,Morning,1
Clear,Urban,Evening,1
Snow,Rural,Morning,3
Fog,Urban,Night,1
Clear,Urban,Evening,3
Fog,Urban,Night,1
Rain,Urban,Afternoon,3
Rain,Suburban,Morning,2
Clear,Rural,Afternoon,3
Snow,Rural,Afternoon,3
Clear,Rural,Morning,1
Fog,Urban,Evening,1
Snow,Suburban,Morning,1
Rain,Rural,Afternoon,1
Snow,Suburban,Afternoon,1
Rain,Urban,Evening,1
Snow,Rural,Morning,2
Snow,Suburban,Afternoon,3
Snow,Urban,Night,3
Fog,Suburban,Afternoon,3
Fog,Rural,Afternoon,2
Clear,Rural,Evening,3
Clear,Urban,Night,2
Rain,Urban,Afternoon,2
Fog,Urban,Afternoon,2
Rain,Suburban,Night,3
Clear,Suburban,Morning,2
Rain,Suburban,Morning,3
Clear,Urban,Afternoon,3
Fog,Rural,Afternoon,1
Snow,Rural,Morning,1
Fog,Suburban,Evening,2
Rain,Suburban,Night,2
Rain,Rural,Night,3
Fog,Rural,Evening,2
Fog,Suburban,Evening,2
Clear,Suburban,Evening,3
Rain,Rural,Evening,2
Rain,Urban,Evening,2
Fog,Suburban,Evening,3
Snow,Rural,Night,3
Rain,Rural,Evening,1
Snow,Rural,Morning,3
Fog,Rural,Evening,1
Fog,Urban,Evening,2
Clear,Rural,Night,3
Rain,Suburban,Night,3
Snow,Urban,Evening,3
Clear,Rural,Night,2
Rain,Urban,Afternoon,1
Clear,Suburban,Night,2
Fog,Rural,Night,2
Rain,Suburban,Night,3
Clear,Rural,Night,1
Clear,Rural,Morning,2
Snow,Rural,Morning,3
Clear,Rural,Morning,2
Rain,Rural,Evening,2
Rain,Urban,Evening,3
Snow,Rural,Afternoon,3
Rain,Rural,Morning,1
Fog,Urban,Evening,2
Rain,Urban,Night,3
Rain,Urban,Night,3
Clear,Urban,Morning,1
Clear,Urban,Afternoon,1
Rain,Urban,Afternoon,3
Snow,Rural,Night,1
Clear,Rural,Afternoon,3
Snow,Suburban,Morning,2
Rain,Rural,Night,1
Rain,Rural,Evening,2
Fog,Urban,Evening,2
Clear,Urban,Afternoon,2
Rain,Rural,Night,3
Fog,Suburban,Night,2
Clear,Urban,Evening,2
Rain,Rural,Night,2
Rain,Rural,Night,3
Clear,Suburban,Night,2
Clear,Suburban,Afternoon,2
Clear,Urban,Night,1
Rain,Suburban,Morning,3
Rain,Rural,Afternoon,2
Fog,Rural,Night,1
Snow,Suburban,Night,3
Clear,Suburban,Morning,3
Rain,Suburban,Afternoon,3
Rain,Suburban,Evening,3
Clear,Urban,Evening,3
Snow,Suburban,Afternoon,3
Clear,Urban,Night,2
Snow,Rural,Night,2
Rain,Suburban,Evening,2
Snow,Urban,Evening,2
Fog,Suburban,Evening,1
Rain,Rural,Morning,2
Fog,Rural,Evening,3
Clear,Rural,Morning,2
Clear,Suburban,Afternoon,2
Clear,Suburban,Night,3
Snow,Urban,Evening,2
Rain,Rural,Night,2
Clear,Suburban,Night,2
Clear,Rural,Evening,1
Rain,Rural,Evening,2
Clear,Urban,Afternoon,3
Fog,Urban,Morning,3
Rain,Urban,Morning,2
Rain,Urban,Night,2
Rain,Rural,Evening,2
